Time,rot_x,rot_y,rot_z,a_x,a_y,a_z,hpa,stat
000020.4745,-2051.,26.000,-35.00,19.339,38.625,3.3750,,
000020.5580,,,,,,,1012.14,14.05
000020.6118,-2052.,32.000,-55.00,0.3399,-61.37,-3.625,,
000020.6953,,,,,,,1012.11,14.05
000020.7491,-2052.,29.000,-22.00,16.339,-90.37,13.375,,
000020.8353,,,,,,,1012.10,14.05
000020.8864,-2048.,42.000,-19.00,14.339,15.625,-9.625,,
000020.9698,,,,,,,1012.13,14.05
000021.0236,-2047.,37.000,-25.00,-31.66,74.625,-8.625,,
000021.1071,,,,,,,1012.16,14.06
000021.2218,-2050.,24.000,-37.00,9.3399,-71.37,25.375,,
000021.2754,,,,,,,1012.13,14.05
000021.3292,-2045.,34.000,-21.00,11.339,-114.3,39.375,,
000021.4270,,,,,,,1012.12,14.05
000021.4667,-2049.,43.000,-7.000,-3.660,-13.37,26.375,,
000021.5499,,,,,,,1012.15,14.04
000021.6038,-2060.,37.000,-13.00,10.339,33.625,-17.62,,
000021.6872,,,,,,,1012.12,14.05
000021.7411,-2049.,24.000,-55.00,-5.660,-9.375,26.375,,
000021.8245,,,,,,,1012.11,14.05
000021.8822,-2048.,11.000,-24.00,18.339,-58.37,34.375,,
000021.9618,,,,,,,1012.12,14.05
000022.0156,-2056.,41.000,-8.000,2.3399,-10.37,20.375,,
000022.0991,,,,,,,1012.11,14.05
000022.1529,-2048.,30.000,-35.00,-18.66,29.625,-40.62,,
000022.2364,,,,,,,1012.13,14.07
000022.2902,-2050.,28.000,-39.00,6.3399,21.625,1.3750,,
000022.3736,,,,,,,1012.13,14.06
000022.4314,-2049.,26.000,-33.00,8.3399,-67.37,40.375,,
000022.5109,,,,,,,1012.13,14.06
000022.5648,-2044.,42.000,-6.000,13.339,-50.37,1.3750,,
000022.6482,,,,,,,1012.14,14.06
000022.7020,-2051.,26.000,-15.00,-16.66,26.625,-55.62,,
000022.7855,,,,,,,1012.14,14.06
000022.8393,-2052.,17.000,-51.00,-13.66,0.6250,18.375,,
000022.9228,,,,,,,1012.12,14.06
000022.9805,-2062.,40.000,-45.00,29.339,-85.37,47.375,,
000023.0600,,,,,,,1012.14,14.07
000023.1139,-2041.,44.000,-19.00,11.339,-68.37,-43.62,,
000023.1973,,,,,,,1012.13,14.06
000023.2512,-2054.,29.000,-20.00,-21.66,27.625,-23.62,,
000023.3346,,,,,,,1012.12,14.06
000023.3884,-2047.,23.000,-37.00,38.339,37.625,17.375,,
000023.4746,,,,,,,1012.12,14.06
000023.5896,-2049.,51.000,-30.00,25.339,-83.37,-4.625,,
000023.6432,,,,,,,1012.12,14.07
000023.6970,-2042.,36.000,-13.00,-32.66,-31.37,-29.62,,
000023.7805,,,,,,,1012.11,14.06
000023.8343,-2052.,26.000,-5.000,-16.66,33.625,-30.62,,
000023.9178,,,,,,,1012.09,14.05
000023.9716,-2059.,32.000,-50.00,19.339,39.625,14.375,,
000024.0578,,,,,,,1012.11,14.06
000024.1089,-2056.,48.000,-43.00,-4.660,-66.37,-13.62,,
000024.1923,,,,,,,1012.13,14.06
000024.2462,-2048.,32.000,-16.00,6.3399,-70.37,-20.62,,
000024.3296,,,,,,,1012.16,14.07
000024.3835,-2045.,30.000,-21.00,17.339,66.625,15.375,,
000024.4669,,,,,,,1012.16,14.07
000024.5207,-2053.,46.000,-34.00,-7.660,42.625,16.375,,
000024.6069,,,,,,,1012.11,14.06
000024.6580,-2052.,37.000,-43.00,-8.660,-52.37,-24.62,,
000024.7414,,,,,,,1012.18,14.07
000024.7953,-2043.,19.000,-28.00,-5.660,-90.37,-2.625,,
000024.8787,,,,,,,1012.14,14.06
000024.9326,-2050.,37.000,-16.00,7.3399,-0.375,4.3750,,
000025.0160,,,,,,,1012.15,14.07
000025.0699,-2046.,44.000,-38.00,-3.660,55.625,-31.62,,
000025.1560,,,,,,,1012.14,14.07
000025.2122,-2051.,22.000,-43.00,-26.66,-13.37,-33.62,,
000025.2907,,,,,,,1012.14,14.07
000025.3444,-2046.,30.000,-25.00,-17.66,-52.37,3.3750,,
000025.4278,,,,,,,1012.13,14.07
000025.4817,-2048.,47.000,-19.00,30.339,11.625,65.375,,
000025.5651,,,,,,,1012.14,14.06
000025.6190,-2057.,46.000,-32.00,-10.66,23.625,-80.62,,
000025.7168,,,,,,,1012.13,14.06
000025.7564,-2048.,15.000,-37.00,-60.66,-15.37,-25.62,,
000025.8397,,,,,,,1012.11,14.07
